job_title,company,experience_years,salary_min,remote_friendly,medical_license,patient_care,clinical_experience
"Specialist, Loan Quality Control - Underwriter",BMO,5.0,45500,1,0,0,0
Care Coordinator - Retrospective RN,Premera Blue Cross,3.0,80200,1,1,1,1
Business Architect Associate,Geisinger,2.0,100000,1,1,1,1
Enrollment Advisor,Wall Street Prep,3.0,75000,1,0,0,0
Media Buyer - Meta Ads,Impact Brands,2.0,100000,1,0,0,0
Content & Editorial Specialist (m/f/d),HelloBetter,5.0,100000,1,0,0,1
"Team Lead, Configuration Testing (RPA/Automation)",CareSource,3.0,83000,1,0,0,1
Partner Success Specialist II,"Project Management Institute, Inc.",3.0,680000,1,0,0,0
SIU Investigator,Centene Corporation,1.0,56200,1,0,0,0
Insurance/Billing Collections Assistant II - Department of Medicine - Business O,Washington University in St. Louis,2.0,17000,1,1,1,0
"Senior Manager, Payment Integrity- Recovery Operations",Centene Corporation,4.0,107700,1,0,0,0
"Registered Nurse 1, CareLine",ChenMed,3.0,64583,1,1,1,1
Lead Product Manager,Sidecar Health,5.0,160000,1,1,0,0
Clinical Pharmacist (8:00AM - 4:30PM ET),"ExactCare Pharmacy, LLC",3.0,100000,1,1,1,1
Contracts Associate - Full Time,Teleios Collaborative Network,3.0,100000,1,0,1,0
"Physician, Tele-Radiology- Diagnostic",WVU Medicine,5.0,100000,1,1,1,1
Litigation Counsel - Insurance Defense (Remote in ME),Davies North America,3.0,100000,1,0,0,0
Partnerships Manager,SafetyWing,3.0,100000,1,0,0,0
Pharmacy Tech Coordinator - 340B Auditor,SSM Health,10.0,40000,1,1,1,0
Clinician Coding Liaison - Family Practice,Advocate Aurora Health,4.0,13376,1,0,1,1
"Vice President, PHCO & Utilization Management",Centene Corporation,10.0,250000,1,0,0,1
Enterprise BI Consultant - IT ERP,Advocate Aurora Health,2.0,10127,1,1,1,1
"Amazon Program Manager,  Suppression",Spreetail Inc.,17.0,100000,1,0,0,0
"Senior Strategist, Digital Advertising",Wheelhouse DMG,5.0,120000,1,0,0,0
Foreclosure Specialist,Kiavi,4.0,57000,1,0,0,0
Senior Pharmacist Consultant,Geisinger,5.0,100000,1,1,1,1
"Director, Payment Integrity - Health Plan Concierge",Centene Corporation,8.0,118400,1,0,0,1
AR Research and Resolution Representative,US Acute Care Solutions,1.0,100000,1,0,1,1
Weekend/Evening Remote Licensed Talk Therapist - Fee For Service,Thriveworks,3.0,175000,1,1,0,1
Application Support Specialist- EMR,Medical Informatics Engineering,2.0,100000,1,0,0,0
"Director, Project Management Office",Strata Information Group,9.0,140000,1,0,0,0
Systems Engineer II,Centene Corporation,4.0,63600,1,1,0,0
Project Accountant - Billing,AmerisourceBergen,3.0,48000,1,0,1,1
J-01507 Intern Undergraduate IT (External Customer Relations),Geisinger,1.0,1507,1,1,1,1
"Manager, Network Engineering",Centene Corporation,5.0,102900,1,0,0,0
Manager Ventures,Geisinger,5.0,100000,1,1,1,1
Online Associate Faculty (Adjunct) Faculty - BA in Applied Behavioral Science,University of Arizona Global Campus,3.0,100000,1,0,0,0
Provider Experience Manager,Centene Corporation,3.0,100000,1,0,0,0
"Project Manager, Enterprise Excellence",AmerisourceBergen,4.0,80900,1,0,1,1
Operations Engineer (Contract),Ooma,3.0,100000,1,0,0,0
Nurse Case Manager,AmerisourceBergen,2.0,60800,1,1,1,1
Junior Account Manager,Deephaven Mortgage LLC,1.0,100000,1,0,0,0
Senior ML Engineer,Chess.com,5.0,100000,1,0,0,0
"VP, People Experience",Velir,10.0,165000,1,0,0,0
Patient Access Specialist,AmerisourceBergen,4.0,46000,1,0,1,1
"Demand Generation Manager, Health Plan & Channel Partner",Carrot Fertility,4.0,100000,1,0,0,1
Inpatient Coding Quality Review/Educator (WFH),OU Health,5.0,11000,1,1,1,1
"Product Manager, High School",Penn Foster,3.0,175000,1,0,0,0
Behavioral Health Prior Authorization Manager,State of Arizona,4.0,85007,1,1,0,1
Accounts Receivable Specialist,Carrot Fertility,3.0,60000,1,0,0,1
"Video Editor & Content Creator Specialist - Freelance, Remote",Magic,3.0,100000,1,0,1,1
DIRECTOR OF GOVERNMENT AFFAIRS & PUBLIC POLICY,State of Arizona,8.0,85007,1,1,0,0
Financial Counselor (Fertility),Spring Fertility,2.0,61000,1,0,1,1
"Manager of Planning, Purchasing & Logistics",SMA America,5.0,82000,1,0,0,0
Part Time Remote Licensed Talk Therapist - Fee For Service,Thriveworks,3.0,175000,1,1,0,1
"Demand Generation Manager, Consultants & Employers",Carrot Fertility,6.0,100000,1,0,0,1
Contracts Associate - Part Time,Teleios Collaborative Network,3.0,100000,1,0,1,0
Senior Specialist Personal Markets,BMO,5.0,75900,1,0,0,0
AAA Sales Associate Work From Home,AAA,122.0,100000,1,0,0,0
Chief of Staff,Mob Entertainment,4.0,100000,1,0,0,0
Patient Accounts Coordinator,Advocate Aurora Health,1.0,13206,1,0,1,1
Virtual Group Therapist Intern,Compass Health Center,3.0,100000,1,0,1,1
Care Management Clinician Team Lead - Behavioral Health (Monday - Friday),PacificSource Health Plans,5.0,83212,1,1,0,1
Senior Underwriter,Deephaven Mortgage LLC,3.0,100000,1,0,0,0
Intern Undergraduate - Digital Engagement,Geisinger,1.0,100000,1,1,1,1
LPN - Nurse Navigator Licensed Practical Nurse - Population Health Nurse Triage,Geisinger,2.0,100000,1,1,1,1
RN-Virtual Inpatient Registered Nurse,Geisinger,3.0,100000,1,1,1,1
Clinical Review Nurse - Concurrent Review,Centene Corporation,4.0,100000,1,1,1,1
Intern Undergraduate IT (Automation),Geisinger,1.0,100000,1,1,1,1
"Scientific Director (Oncology, CME)",The Lockwood Group,3.0,100000,1,0,1,1
AI Systems Analyst III,CareSource,5.0,94100,1,0,0,0
Care Manager,Centene Corporation,4.0,100000,1,1,0,1
Intern Undergraduate (SURP 2026),Geisinger,1.0,100000,1,1,1,1
Account Manager- Central,Pivot + Edge,2.0,100000,1,0,0,0
HIM Coding Auditor,Vail Health,5.0,520000,1,1,1,1
Finance Analyst III - SQL/Healthcare,Centene Corporation,4.0,70100,1,0,0,0
"Director, Utilization Management","AffirmedRx, PBC",10.0,100000,1,0,1,1
Tele-Radiology - Diagnostic,WVU Medicine,5.0,100000,1,1,1,1
Junior Process and QA Specialist (Operations Department),Impact Brands,1.0,100000,1,0,0,0
